time,temperature
0,22.8
1,22.9
2,"	22.9"
3,"	22.9"
4,"	24.2"
5,"	24.7"
6,"	25.5"
7,"	25.3"
8,"	26.3"
9,"	26.7"
10,"	27"
11,"	27.1"
12,"	27.1"
13,"	28"
14,"	28.3"
15,"	28.5"
16,"	28.5"
17,"	28.5"
18,"	29.4"
19,"	29.6"
20,"	29.9"
21,"	29.9"
22,"	29.9"
23,"	30.7"
24,"	30.8"
25,"	31"
26,"	31"
27,"	31.1"
28,"	31.1"
29,"	31.8"
30,"	32"
31,"	32.1"
32,"	32.1"
33,"	32.2"
34,"	32.2"
35,"	32.2"
36,"	32.8"
37,"	33"
38,"	33.1"
39,"	33.1"
40,"	33.2"
41,"	33.1"
42,"	33.1"
43,"	33"
44,"	32"
45,"	31.8"
46,"	31.4"
47,"	31.4"
48,"	31.4"
49,"	30.7"
50,"	30.3"
51,"	30"
52,"	30"
53,"	30"
54,"	30"
55,"	29.3"
56,"	29.2"
57,"	29"
58,"	29"
59,"	28.9"
60,"	28.9"
61,"	28.5"
62,"	28.3"
63,"	28.3"
64,"	28.2"
65,"	28.2"
66,"	28.2"
67,"	28.2"
68,"	28.2"
69,"	28.2"
70,"	27.6"
71,"	27.5"
72,"	27.6"
73,"	27.5"
74,"	27.5"
75,"	27.5"
76,"	27.5"
77,"	27.5"
78,"	27.5"
79,"	27.5"
80,"	27.4"
81,"	27.4"
82,"	26.9"
83,"	26.9"
84,"	26.9"
85,"	26.9"
86,"	26.9"
87,"	26.9"
88,"	26.8"
89,"	26.8"
90,"	26.8"
91,"	26.8"
92,"	26.8"
93,"	26.8"
94,"	26.8"
95,"	26.8"
96,"	26.8"
97,"	26.6"
98,"	26.6"
99,"	26.6"
100,"	26.6"
101,"	26.6"
102,"	26.6"
103,"	26.6"
104,"	26.5"
105,"	26.6"
106,"	26.5"
107,"	26.5"
108,"	26.5"
109,"	26.2"
110,"	26.1"
111,"	26.1"
112,"	26.1"
113,"	26.1"
114,"	26.1"
115,"	26.1"
116,"	26.1"
117,"	26.1"
118,"	26.1"
119,"	26.1"
120,"	26.1"
121,"	26.1"
122,"	26.1"
123,"	26.1"
124,"	26"
125,"	26"
126,"	26"
127,"	26"
128,"	26"
129,"	26"
130,"	26"
131,"	26"
132,"	26"
133,"	26"
134,"	26"
135,"	26"
136,"	25.8"
137,"	25.8"
138,"	25.8"
139,"	25.8"
140,"	25.8"
141,"	25.8"
142,"	25.8"
143,"	25.8"
144,"	25.8"
145,"	25.8"
146,"	25.8"
147,"	25.8"
148,"	25.8"
149,"	25.8"
150,"	25.7"
151,"	25.7"
152,"	25.7"
153,"	25.7"
154,"	25.7"
155,"	25.7"
156,"	25.7"
157,"	25.7"
158,"	25.7"
159,"	25.7"
160,"	25.7"
161,"	25.7"
162,"	25.7"
163,"	25.6"
164,"	25.6"
165,"	25.6"
166,"	25.6"
167,"	25.6"
168,"	25.6"
169,"	25.6"
170,"	25.6"
171,"	25.6"
172,"	25.5"
173,"	25.5"
174,"	25.5"
175,"	25.5"
176,"	25.5"
177,"	25.5"
178,"	25.5"
179,"	25.5"
180,"	25.4"
