time,temperature
0,21.5
1,21.5
2,21.6
3,21.6
4,23
5,23.5
6,23.9
7,25
8,25.3
9,25.6
10,25.7
11,25.7
12,25.7
13,27.4
14,27.4
15,27.4
16,28.2
17,28.4
18,28.6
19,28.7
20,28.7
21,29.5
22,29.7
23,29.8
24,29.9
25,30
26,30
27,30.7
28,31.1
29,31.1
30,31.2
31,31.2
32,31.2
33,31.9
34,32
35,32.2
36,32.2
37,32.2
38,32.2
39,32.9
40,33.1
41,33.1
42,33.1
43,33.2
44,33.7
45,33.8
46,33.9
47,34
48,34
49,34
50,34
51,34.1
52,34.9
53,34.9
54,34.9
55,34.9
56,35
57,35
58,35.5
59,35.8
60,35.8
61,35.8
62,35.9
63,35.9
64,35.9
65,36.5
66,36.5
67,36.6
68,36.6
69,36.7
70,36.7
71,36.7
72,37.2
73,37.3
74,37.4
75,37.4
76,37.5
77,37.5
78,37.5
79,37.5
80,38
81,38.1
82,38.2
83,38.3
84,38.3
85,38.3
86,38.3
87,38.3
88,38.7
89,38.8
90,39
91,39
92,38.9
93,38.9
94,37.2
95,36.7
96,36.7
97,36.7
98,35.6
99,35.2
100,34.9
101,34.9
102,34.8
103,34
104,34.7
105,33.5
106,33.5
107,33.4
108,33.4
109,32.6
110,32.5
111,32.5
112,32.5
113,32.5
114,32
115,31.8
116,31.7
117,31.7
118,31.7
119,31.7
120,31.1
121,31
122,31
123,30.9
124,30.9
125,30.9
126,30.9
127,30.9
128,30.9
129,30.3
130,30.3
131,30.2
132,30.2
133,30.2
134,30.1
135,30.1
136,30.1
137,30.1
138,30.1
139,30.1
140,29.6
141,29.6
142,29.5
143,29.5
144,29.5
145,29.5
146,29.4
147,29.4
148,29.4
149,29.4
150,29.4
151,29.4
152,29
153,28.9
154,28.9
155,28.9
156,28.9
157,28.9
158,28.8
159,28.9
160,28.8
161,28.8
162,28.8
163,28.8
164,28.8
165,28.8
166,28.8
167,28.6
168,28.6
169,28.6
170,28.6
171,28.6
172,28.6
173,28.6
174,28.6
175,28.6
176,28.6
177,28.6
178,28.6
179,28.2
180,28.1
181,28.1
182,28.1
183,29.2
184,29.4
185,29.8
186,29.9
187,29.9
188,30.8
189,31.1
190,31.5
191,31.5
192,31.5
193,32.3
194,32.5
195,32.7
196,32.7
197,32.8
198,33.4
199,33.6
200,33.7
201,33.8
202,33.8
203,33.8
204,34.4
205,34.6
206,34.7
207,34.7
208,34.7
209,34.8
210,34.8
211,35.3
212,35.5
213,35.5
214,35.6
215,35.6
216,35.6
217,35.6
218,36.1
219,36.3
220,36.3
221,36.3
222,36.4
223,36.4
224,36.4
225,36.4
226,37
227,37
228,37.1
229,37.1
230,37.1
231,37.1
232,37.2
233,37.2
234,37.9
235,37.9
236,37.9
237,37.9
238,37.9
239,38
240,38
241,37.9
242,38
243,38
244,38
245,38.6
246,38.7
247,38.7
248,38.7
249,38.7
250,38.8
251,38.8
252,38.8
253,39.1
254,39.2
255,39.4
256,39.4
257,39.4
258,39.4
259,39.4
260,39.4
261,39.4
262,39.4
263,39.5
264,39.5
265,40.1
266,40
267,40.1
268,40.1
269,40.1
270,40.1
271,40.1
272,40
273,40
274,39.1
275,38.6
276,38.4
277,38.3
278,37.5
279,37.3
280,37
281,36.9
282,36.9
283,36.9
284,36.2
285,36
286,35.8
287,35.8
288,35.7
289,35.7
290,35.7
291,35
292,35
293,34.9
294,34.8
295,34.8
296,34.8
297,34.8
298,34.8
299,34.2
300,34.1
301,34
302,34
303,34
304,34
305,34
306,33.9
307,33.5
308,33.4
309,33.3
310,33.3
311,33.3
312,33.3
313,33.3
314,33.3
315,33.3
316,33.2
317,33.2
318,33.2
319,33.2
320,32.7
321,32.7
322,32.7
323,32.7
324,32.7
325,32.7
326,32.7
327,32.7
328,32.7
329,32.6
330,32.6
331,32.6
332,32.3
333,32.2
334,32.1
335,32.1
336,32.1
337,32.1
338,32.1
339,32.1
340,32.1
341,32
342,32
343,32
344,32
345,32
346,32
347,31.9
348,31.9
349,31.9
350,31.9
351,31.9
352,31.9
353,31.9
354,31.9
355,31.9
356,31.8
357,31.8
358,31.8
359,31.8
360,31.4
361,31.5
362,31.8
363,31.8
364,31.9
365,31.9
366,32.9
367,33.2
368,33.3
369,33.3
370,33.3
371,34
372,34.2
373,34.3
374,34.4
375,34.4
376,34.4
377,34.4
378,35.1
379,35.2
380,35.3
381,35.3
382,35.4
383,35.4
384,35.4
385,35.4
386,35.9
387,36.1
388,36.1
389,36.2
390,36.2
391,36.2
392,36.2
393,36.2
394,36.2
395,36.7
396,36.7
397,37
398,37
399,37
400,37
401,37
402,37
403,37
404,37.1
405,37.1
406,37.1
407,37.5
408,37.7
409,37.7
410,37.7
411,37.7
412,37.8
413,37.8
414,37.8
415,37.8
416,37.8
417,37.8
418,37.8
419,38.2
420,38.3
421,38.4
422,38.4
423,38.4
424,38.4
425,38.4
426,38.4
427,38.4
428,38.5
429,38.5
430,38.5
431,38.5
432,38.9
433,38.9
434,38.9
435,38.9
436,38.9
437,39
438,39
439,39
440,39
441,39
442,39
443,39.4
444,39.4
445,39.5
446,39.5
447,39.5
448,39.5
449,39.6
450,39.6
451,39.5
452,39.5
453,39.4
454,39.4
455,38.7
456,38.1
457,38.1
458,38
459,38
460,38
461,37.2
462,37.1
463,37
464,37
465,36.9
466,36.9
467,36.4
468,36.2
469,36.2
470,36.2
471,36.1
472,36.1
473,36.1
474,36.1
475,36.1
476,35.6
477,35.5
478,35.4
479,35.4
480,35.3
481,35.4
482,35.3
483,35.3
484,35.3
485,35.3
486,34.8
487,34.8
488,34.8
489,34.8
490,34.8
491,34.8
492,34.8
493,34.8
494,34.8
495,34.7
496,34.7
497,34.7
498,34.4
499,34.2
500,34.3
501,34.3
502,34.2
503,34.2
504,34.2
505,34.2
506,34.2
507,34.2
508,34.2
509,34.2
510,34.2
511,34.2
512,34.2
513,34
514,34
515,33.9
516,34
517,33.9
518,33.9
519,33.9
520,33.9
521,33.9
522,33.9
523,33.9
524,33.9
525,33.9
526,33.6
527,33.6
528,33.6
529,33.6
530,33.6
531,33.6
532,33.6
533,33.6
534,33.6
535,33.6
536,33.6
537,33.6
538,33.5
539,33.3
540,33.3
